植物编号,经度（X),纬度（Y）,中文名,拉丁学名,科属,生活型,原产地,地理分布,类群,形态特征,生态习性,入侵危害特点,分布区域,出现次数
1,110.2604,29.0737,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.2805,29.0754,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
2,110.275,29.0958,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2728,29.1113,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2735,29.1022,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2706,29.0843,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2632,29.0815,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.25,29.0759,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2604,29.0737,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2715,29.0806,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2709,29.0755,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2859,29.072,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2918,29.0743,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2918,29.0742,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.3222,29.0759,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.3136,29.0721,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.3046,29.0728,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.2821,29.0653,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
2,110.283,29.0658,一年蓬,Erigeron annuus (L.) Pers.,菊科飞蓬草属,一年生草本,北美洲,东亚和北美间断分布,被子植物,上下部被硬毛，边缘具粗齿。基部叶长圆形或宽卵形，中部和上部叶长圆状披针形或披针形。头状花序排列成圆锥花序。,喜温暖湿润，也能耐寒、耐旱；适应能力极强，既能耐阴也能在全光照下生长，在阳光充足的地方会长得更加旺盛,繁殖系数大，扩散速度快，发生量大。是红蜘蛛的越冬寄主，而红蜘蛛是一种农田害虫，易引起作物病虫害。对其他物种具有化感作用，可抑制水稻等作物胚轴和根的生长。与本土植物争水、争肥、争夺生存空间，爆发扩散时往往形成单优种群，破坏原有生态系统，影响生物多样性。,大堰防护绿地、人民医院附属绿地、西站附属绿地、武陵山大道防护绿地、龙源华城附属绿地、张家界金海学校附属绿地、大庸桥公园绿地、荣盛华府附属绿地、大庸古城附属绿地、福天·中央公馆附属绿地、福天·中央公馆附属绿地、科技大道防护绿地、陈家溪桥防护绿地、仙人溪桥防护绿地、迎宾路防护绿地、官黎坪中学附属绿地、南庄坪街道办事处附属绿地,30
